id,shrop_ratio,prob_default,return_preds,loan_amnt,funded_amnt,int_rate,fico_range_low,fico_range_high
157836545,13.774350495104759,0.0056169033,0.17947553598040794,20500,16650.0,0.2565,785,789
156369436,12.78453781326766,0.006051779,0.09399022406689983,40000,33550.0,0.14300000000000002,760,764
157022911,12.684096439734716,0.006099701,0.07509339806125387,6000,5025.0,0.11710000000000001,745,749
156951202,11.396710097428286,0.0067887306,0.12419792700446251,30000,15000.0,0.1862,735,739
157771576,11.289657782986815,0.0068531036,0.10639102922406687,26575,19850.0,0.1524,730,734
157064735,10.968175462260593,0.0070539713,0.05121282184077061,40000,16825.0,0.08810000000000001,735,739
157808999,9.923395664240877,0.007796645,0.06857165363395586,20000,12950.0,0.1308,720,724
157763607,9.206151146880373,0.008404076,0.053644056337186975,8000,7300.0,0.08810000000000001,725,729
157584769,8.425984039523616,0.009182215,0.15080160495257885,30000,26600.0,0.20550000000000002,725,729
157309640,8.272880016677131,0.009352148,0.09636616100480133,40000,17875.0,0.14300000000000002,730,734
157842929,7.557199457718774,0.010237813,0.07311615869061688,12000,5700.0,0.11019999999999999,715,719
157893699,7.347339038516834,0.010530233,0.07204392437688116,25000,20375.0,0.11019999999999999,715,719
157849526,6.358544796276554,0.012167752,0.07789498347785426,7000,5150.0,0.14300000000000002,715,719
156746122,5.566924103686976,0.013898015,0.12260590567605398,37225,8325.0,0.1862,715,719
157762796,4.813151936906966,0.016074538,0.09462222263781454,30500,8900.0,0.14300000000000002,705,709
157306370,3.4929596498985296,0.02215004,0.06094490463643239,40000,25925.0,0.1033,710,714
157865095,2.8161197166972394,0.027473688,0.11329515778340082,24000,18550.0,0.1612,700,704
157419727,2.6931848598190187,0.02872777,0.06653436918385336,20000,15400.0,0.1033,700,704
157881625,2.434693306029887,0.0317778,0.06686091745801555,10000,6150.0,0.1033,690,694
157672044,2.3678991525746778,0.032674193,0.07840832903132175,10000,8425.0,0.124,710,714
157790241,1.5558428541971616,0.049728155,0.11516322873090966,24000,6075.0,0.1862,700,704
156264141,0.9922606746988084,0.07797265,0.12574180003837382,30000,23950.0,0.1797,695,699
157826455,0.9648514139001937,0.08018768,0.07669555974295497,40000,36925.0,0.124,700,704
157166141,0.6157192848277234,0.1256566,0.053553318265841136,31575,18975.0,0.08810000000000001,695,699
157520180,0.5947103067093422,0.1300956,0.14802679354248405,25525,4750.0,0.20550000000000002,690,694
157362331,0.5201792492723292,0.14873564,0.10671015417998168,21275,9450.0,0.1524,695,699
157451638,0.5080247027311527,0.15229416,0.10722464784492926,20000,9075.0,0.1524,685,689
156275009,0.4818200858848448,0.16057694,0.10614685437831463,30000,23225.0,0.1524,695,699
157199170,0.36648925136742955,0.21110904,0.09495005362490863,35000,25900.0,0.14300000000000002,690,694
157658568,0.3545876428227952,0.21819484,0.11706443931668006,15000,8800.0,0.17739999999999997,690,694
157891418,0.3218038745332231,0.24042344,0.10331934360346595,11700,11300.0,0.1524,685,689
157838667,0.3147203882766342,0.24583471,0.07731413795310757,14500,5750.0,0.124,680,684
157539155,0.3125611783091805,0.24753296,0.11196502339299683,21275,11850.0,0.1612,690,694
157504044,0.24440432752957184,0.3165623,0.11304493417729491,30000,13450.0,0.1612,675,679
157850534,0.2336458644068676,0.33113873,0.07428306113748571,10000,8400.0,0.16949999999999998,680,684
157416597,0.22572169492275476,0.34276366,0.06673346310910022,31900,22175.0,0.1033,680,684
157662458,0.21731256749068112,0.35602725,0.11173284311867702,30000,6575.0,0.1612,680,684
157559559,0.1805021495864697,0.4286331,0.15159855853317322,30000,23600.0,0.20550000000000002,690,694
157833733,0.17987968568533963,0.43011636,0.0780029415962618,14000,10400.0,0.124,685,689
157295326,0.1711371509273678,0.45208883,0.05275574515839779,15000,12950.0,0.0819,665,669
157288919,0.16674528718193052,0.4639963,0.10777098863580896,15300,14550.0,0.17739999999999997,680,684
157728075,0.15947532664802722,0.48514837,0.11323700733895185,28000,12475.0,0.1612,680,684
